"""
The map over the island is ordered in parts of the following order:
   123
   456
   789

A string on the format "<num>:island==========" preceeds each map piece
"""
0:island==========
--------------------------------------------------------------------------------
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
|....................                                                          |
--------------------------------------------------------------------------------
|                                                                              |

1:island==========
--------------------------------------------------------------------------------
|                                                                              |
|                                .....           ......                        |
|                               ......      ...............                    |
|                              ......      .................           .....   |
|                    .........................###########......................|
|             ..................###..........##############...........####.....|
|         .............########################################################|
|    .............#############################################################|
|   ..........#################################################################|
|   ........#####################^^^^^^^#######################################|
|   .......##################^^^^^^^^^^^^^#####################################|
|    .....###############^^^^^^^^^^^^##^^^^####################################|
|     ...#############^^^^^^^^^^^########^^^^^^^^^#############################|
|      .############^^^^^^^^^##############^^^^^^^^^^^^^#######################|
|      ..########^^^^^^#####################^^^^^^^^^^^^^^^####################|
|     ..########^^^^^##########################################################|
|    ...#######################################################################|
|    ..########################################################################|
|   ..#########################################################################|
|    ...#######################################################################|
|    ......####################################################################|
|~ ~......#####################################################################|
--------------------------------------------------------------------------------
|                                                                              |
